id;name;category;description;address;phone;email;website;latitude;longitude;tags;sourceName;sourceUrl;coordinatesVerified;coordinateSource;status
autohaus-mitteldorf;Autohaus Mitteldorf KG;Mobilität;Mercedes-Benz Service- und Autohausstandort in Olfen.;Schlosserstr. 46, 59399 Olfen;+49 2595 2127-0;service.olfen@mitteldorf-mercedes-benz.de;https://www.autohaus-mitteldorf.de/;51.699040;7.387841;Autohaus|Mercedes-Benz|Werkstatt|Service|Mobilität;Website Autohaus Mitteldorf;https://www.autohaus-mitteldorf.de/;true;manuell geprüft;aktiv
olko-maschinentechnik;OLKO-Maschinentechnik GmbH;Industrie;Maschinenbauunternehmen für Schachtbau- und Fördertechnik.;Schlosserstraße 55, 59399 Olfen;+49 2595 38599-0;;https://www.ts-olko.com/;51.699319;7.388677;Maschinenbau|Fördertechnik|Industrie|Gewerbe;Impressum OLKO-Maschinentechnik;https://www.ts-olko.com/de/kontakt/impressum;true;manuell geprüft;aktiv
nsm-magnettechnik;NSM MAGNETTECHNIK GmbH;Industrie;Unternehmen für Automatisierung, Fördersysteme und Magnettechnik.;Lützowstraße 21, 59399 Olfen;+49 2592 88-0;nsm@nsm-magnettechnik.de;https://www.nsm-magnettechnik.de/;51.693393;7.444255;Automatisierung|Fördersysteme|Magnettechnik|Industrie;Kontaktseite NSM MAGNETTECHNIK;https://www.nsm-magnettechnik.de/de/kontakt;true;manuell geprüft;aktiv
ritter-starkstromtechnik;RITTER Starkstromtechnik GmbH & Co. KG;Handwerk;Standort Olfen für Schaltanlagen und Starkstromtechnik.;Niekamp 8, 59399 Olfen;+49 2595 381-0;olfen@ritter.info;https://www.ritter-starkstromtechnik.de/;51.715747;7.3709451;Elektrotechnik|Schaltanlagen|Starkstrom|Handwerk;Website RITTER Starkstromtechnik;https://www.ritter-starkstromtechnik.de/;true;manuell geprüft;aktiv
marien-apotheke;Marien-Apotheke;Gesundheit;Apotheke in Olfen mit Beratung, Rezeptservice und pharmazeutischen Dienstleistungen.;Bilholtstr. 22, 59399 Olfen;(02595) 5339;info@marien-apotheke-olfen.de;https://www.marien-apotheke-olfen.de/;51.70870224087376;7.380689741914855;Apotheke|Gesundheit|Medikamente|Beratung|Rezeptservice;Impressum Marien-Apotheke;https://www.marien-apotheke-olfen.de/impressum/;true;manuell – geprüft;aktiv
hotel-zum-steverstrand;Hotel Zum Steverstrand;Gastronomie;Hotel und Restaurant in Olfen mit Zimmern, Gastronomie und Saalvermietung.;Lüdinghauser Straße 31, 59399 Olfen;02595 3077;info@steverstrand.de;https://www.steverstrand.de/;51.708690416205634;7.3915984224639635;Hotel|Restaurant|Gastronomie|Übernachtung|Saalvermietung;Impressum Hotel Zum Steverstrand;https://www.steverstrand.de/impressum;true;manuell – geprüft;aktiv
lotto-etges;Lotto Etges;Einzelhandel;Lotto- und Einzelhandelsgeschäft in der Dompassage in Olfen.;Kirchstraße 10 / Dompassage, 59399 Olfen;02595 3858432;info@michael-etges.de;https://www.lotto-etges.de/;51.70661767956863;7.379024550060596;Lotto|Einzelhandel|Zeitschriften|Tabakwaren|Dompassage;Kontaktseite Lotto Etges;https://www.lotto-etges.de/kontakt.php;true;manuell – geprüft;aktiv
blumenhaus-trogemann;Blumenhaus Trogemann;Einzelhandel;Blumenfachgeschäft in Olfen mit Floristik, Bestellungen und Fleurop-Service.;Kirchstraße 8, 59399 Olfen;02595 1229;blumen-trogemann@t-online.de;https://www.blumen-trogemann.de/;51.70674293526389;7.378992587362387;Blumen|Floristik|Einzelhandel|Fleurop|Geschenke;Impressum Blumenhaus Trogemann;https://www.blumen-trogemann.de/impressum;true;manuell – geprüft;aktiv
malerbetrieb-tucholski;Malerbetrieb Ralf Tucholski;Handwerk;Malerbetrieb in Olfen mit Leistungen rund um Fassaden, Tapezierarbeiten, Lackierarbeiten und Bodenbeläge.;Robert-Bosch-Straße 9, 59399 Olfen;+49 2595 386832;info@maler-tucholski.de;https://www.maler-tucholski.de/;51.703911841401805;7.385975396291051;Maler|Handwerk|Fassade|Tapezieren|Lackieren|Bodenbeläge;Impressum Malerbetrieb Ralf Tucholski;https://www.maler-tucholski.de/Kontakt/Impressum/;true;manuell – geprüft;aktiv
t;Test Anbieter Olfen;Sonstiges;;Teststraße 1, 59399 Olfen;;;;51.7079;7.3786;Test|MVP|Demo;;;false;;deaktiviert
